project,iso2,year,month,pageviews_ceil
cv.wikipedia,--,2022,11,3000
cv.wikipedia,PL,2022,11,3000
cv.wikipedia,SG,2022,11,3000
cv.wikipedia,JP,2022,11,3000
cv.wikipedia,UA,2022,11,3000
cv.wikipedia,IE,2022,11,3000
cv.wikipedia,AU,2022,11,3000
cv.wikipedia,NG,2022,11,3000
cv.wikipedia,ES,2022,11,2000
cv.wikipedia,IR,2022,11,2000
cv.wikipedia,FI,2022,11,2000
cv.wikipedia,SE,2022,11,2000
cv.wikipedia,KH,2022,11,2000
cv.wikipedia,CH,2022,11,2000
cv.wikipedia,TR,2022,11,2000
cv.wikipedia,PK,2022,11,1000
cv.wikipedia,KZ,2022,11,1000
cv.wikipedia,ID,2022,11,1000
cv.wikipedia,BY,2022,11,1000
cv.wikipedia,MA,2022,11,1000
cv.wikipedia,HK,2022,11,1000
cv.wikipedia,IT,2022,11,1000
cv.wikipedia,CZ,2022,11,1000
cv.wikipedia,UZ,2022,11,1000
cv.wikipedia,SK,2022,11,1000
cv.wikipedia,BE,2022,11,1000
cv.wikipedia,KR,2022,11,1000
cv.wikipedia,IL,2022,11,1000
cv.wikipedia,NP,2022,11,1000
cv.wikipedia,VN,2022,11,1000
cv.wikipedia,MM,2022,11,1000
cv.wikipedia,BR,2022,11,1000
cv.wikipedia,PT,2022,11,1000
cv.wikipedia,DK,2022,11,1000
cv.wikipedia,AR,2022,11,1000
cv.wikipedia,MT,2022,11,1000
cv.wikipedia,GR,2022,11,1000
cv.wikipedia,TM,2022,11,1000
cv.wikipedia,BG,2022,11,1000
cv.wikipedia,MX,2022,11,1000
cv.wikipedia,KW,2022,11,1000
cv.wikipedia,EE,2022,11,1000
cv.wikipedia,AT,2022,11,1000
cv.wikipedia,TJ,2022,11,1000
cv.wikipedia,LV,2022,11,1000
cv.wikipedia,CY,2022,11,1000
cv.wikipedia,TW,2022,11,1000
cv.wikipedia,AZ,2022,11,1000
cv.wikipedia,NO,2022,11,1000
cv.wikipedia,GE,2022,11,1000
cv.wikipedia,KG,2022,11,1000
cv.wikipedia,LT,2022,11,1000
cv.wikipedia,NZ,2022,11,1000
cv.wikipedia,RO,2022,11,1000
cv.wikipedia,AM,2022,11,1000
cv.wikipedia,MD,2022,11,1000
cv.wikipedia,US,2022,12,139000
cv.wikipedia,RU,2022,12,33000
cv.wikipedia,CA,2022,12,21000
cv.wikipedia,FR,2022,12,10000
cv.wikipedia,DE,2022,12,6000
cv.wikipedia,NL,2022,12,6000
cv.wikipedia,IN,2022,12,6000
cv.wikipedia,SG,2022,12,3000
cv.wikipedia,GB,2022,12,3000
cv.wikipedia,JP,2022,12,3000
cv.wikipedia,IE,2022,12,3000
cv.wikipedia,UA,2022,12,3000
cv.wikipedia,SE,2022,12,2000
cv.wikipedia,NG,2022,12,2000
cv.wikipedia,--,2022,12,2000
cv.wikipedia,PL,2022,12,2000
cv.wikipedia,ES,2022,12,2000
cv.wikipedia,ID,2022,12,2000
cv.wikipedia,KR,2022,12,2000
cv.wikipedia,AU,2022,12,2000
cv.wikipedia,KZ,2022,12,1000
cv.wikipedia,FI,2022,12,1000
cv.wikipedia,TR,2022,12,1000
cv.wikipedia,IR,2022,12,1000
cv.wikipedia,BY,2022,12,1000
cv.wikipedia,VN,2022,12,1000
cv.wikipedia,CH,2022,12,1000
cv.wikipedia,BE,2022,12,1000
cv.wikipedia,SC,2022,12,1000
cv.wikipedia,AT,2022,12,1000
cv.wikipedia,IT,2022,12,1000
cv.wikipedia,MT,2022,12,1000
cv.wikipedia,HK,2022,12,1000
cv.wikipedia,IL,2022,12,1000
cv.wikipedia,AM,2022,12,1000
cv.wikipedia,BR,2022,12,1000
cv.wikipedia,PK,2022,12,1000
cv.wikipedia,CY,2022,12,1000
cv.wikipedia,TH,2022,12,1000
cv.wikipedia,CZ,2022,12,1000
cv.wikipedia,KE,2022,12,1000
cv.wikipedia,UZ,2022,12,1000
cv.wikipedia,MX,2022,12,1000
cv.wikipedia,HU,2022,12,1000
cv.wikipedia,RO,2022,12,1000
cv.wikipedia,AR,2022,12,1000
cv.wikipedia,EE,2022,12,1000
cv.wikipedia,LV,2022,12,1000
cv.wikipedia,BD,2022,12,1000
cv.wikipedia,PH,2022,12,1000
cv.wikipedia,NO,2022,12,1000
cv.wikipedia,KH,2022,12,1000
cv.wikipedia,BG,2022,12,1000
cv.wikipedia,HN,2022,12,1000
cv.wikipedia,GE,2022,12,1000
cv.wikipedia,NP,2022,12,1000
cv.wikipedia,MY,2022,12,1000
cv.wikipedia,CN,2022,12,1000
cv.wikipedia,TW,2022,12,1000
cv.wikipedia,ZA,2022,12,1000
cv.wikipedia,AZ,2022,12,1000
cv.wikipedia,KG,2022,12,1000
cv.wikipedia,DK,2022,12,1000
cv.wikipedia,GR,2022,12,1000
