project,page_title,date,pageviews
ur.wikipedia,منکی_پاکس,2022-08-17,4
ur.wikipedia,منکی_پاکس,2022-08-18,23
ur.wikipedia,منکی_پاکس,2022-08-19,1
ur.wikipedia,منکی_پاکس,2022-08-20,1
ur.wikipedia,منکی_پاکس,2022-08-21,0
ur.wikipedia,منکی_پاکس,2022-08-22,1
ur.wikipedia,منکی_پاکس,2022-08-23,7
ur.wikipedia,منکی_پاکس,2022-08-24,6
ur.wikipedia,منکی_پاکس,2022-08-25,3
ur.wikipedia,منکی_پاکس,2022-08-26,0
ur.wikipedia,منکی_پاکس,2022-08-27,2
ur.wikipedia,منکی_پاکس,2022-08-28,1
ur.wikipedia,منکی_پاکس,2022-08-29,1
ur.wikipedia,منکی_پاکس,2022-08-30,0
ur.wikipedia,منکی_پاکس,2022-08-31,0
ur.wikipedia,منکی_پاکس,2022-09-01,1
ur.wikipedia,منکی_پاکس,2022-09-02,0
ur.wikipedia,منکی_پاکس,2022-09-03,0
ur.wikipedia,منکی_پاکس,2022-09-04,1
ur.wikipedia,منکی_پاکس,2022-09-05,2
ur.wikipedia,منکی_پاکس,2022-09-06,0
ur.wikipedia,منکی_پاکس,2022-09-07,0
ur.wikipedia,منکی_پاکس,2022-09-08,2
ur.wikipedia,منکی_پاکس,2022-09-09,1
ur.wikipedia,منکی_پاکس,2022-09-10,2
ur.wikipedia,منکی_پاکس,2022-09-11,1
ur.wikipedia,منکی_پاکس,2022-09-12,4
ur.wikipedia,منکی_پاکس,2022-09-13,0
ur.wikipedia,منکی_پاکس,2022-09-15,0
ur.wikipedia,منکی_پاکس,2022-09-16,1
ur.wikipedia,منکی_پاکس,2022-09-17,1
ur.wikipedia,منکی_پاکس,2022-09-19,1
ur.wikipedia,منکی_پاکس,2022-09-20,0
ur.wikipedia,منکی_پاکس,2022-09-21,0
ur.wikipedia,منکی_پاکس,2022-09-22,0
ur.wikipedia,منکی_پاکس,2022-09-23,4
ur.wikipedia,منکی_پاکس,2022-09-24,1
ur.wikipedia,منکی_پاکس,2022-09-25,2
ur.wikipedia,منکی_پاکس,2022-09-26,4
ur.wikipedia,منکی_پاکس,2022-09-27,3
ur.wikipedia,منکی_پاکس,2022-09-28,1
ur.wikipedia,منکی_پاکس,2022-09-29,0
ur.wikipedia,منکی_پاکس,2022-09-30,0
ur.wikipedia,منکی_پاکس,2022-10-01,0
ur.wikipedia,منکی_پاکس,2022-10-02,1
ur.wikipedia,منکی_پاکس,2022-10-03,0
ur.wikipedia,منکی_پاکس,2022-10-04,1
ur.wikipedia,منکی_پاکس,2022-10-05,1
ur.wikipedia,منکی_پاکس,2022-10-06,8
ur.wikipedia,منکی_پاکس,2022-10-07,0
