project,page_title,date,pageviews
fi.wikipedia,Apinarokko,2022-01-01,6
fi.wikipedia,Apinarokko,2022-01-02,0
fi.wikipedia,Apinarokko,2022-01-03,6
fi.wikipedia,Apinarokko,2022-01-04,4
fi.wikipedia,Apinarokko,2022-01-05,1
fi.wikipedia,Apinarokko,2022-01-06,0
fi.wikipedia,Apinarokko,2022-01-07,1
fi.wikipedia,Apinarokko,2022-01-08,0
fi.wikipedia,Apinarokko,2022-01-09,1
fi.wikipedia,Apinarokko,2022-01-10,2
fi.wikipedia,Apinarokko,2022-01-11,5
fi.wikipedia,Apinarokko,2022-01-12,0
fi.wikipedia,Apinarokko,2022-01-14,0
fi.wikipedia,Apinarokko,2022-01-15,2
fi.wikipedia,Apinarokko,2022-01-16,3
fi.wikipedia,Apinarokko,2022-01-17,1
fi.wikipedia,Apinarokko,2022-01-19,0
fi.wikipedia,Apinarokko,2022-01-20,2
fi.wikipedia,Apinarokko,2022-01-21,2
fi.wikipedia,Apinarokko,2022-01-22,2
fi.wikipedia,Apinarokko,2022-01-23,1
fi.wikipedia,Apinarokko,2022-01-25,4
fi.wikipedia,Apinarokko,2022-01-26,8
fi.wikipedia,Apinarokko,2022-01-27,3
fi.wikipedia,Apinarokko,2022-01-28,2
fi.wikipedia,Apinarokko,2022-01-29,1
fi.wikipedia,Apinarokko,2022-01-30,2
fi.wikipedia,Apinarokko,2022-01-31,2
fi.wikipedia,Apinarokko,2022-02-01,2
fi.wikipedia,Apinarokko,2022-02-02,1
fi.wikipedia,Apinarokko,2022-02-03,1
fi.wikipedia,Apinarokko,2022-02-04,0
fi.wikipedia,Apinarokko,2022-02-05,2
fi.wikipedia,Apinarokko,2022-02-06,0
fi.wikipedia,Apinarokko,2022-02-07,0
fi.wikipedia,Apinarokko,2022-02-08,2
fi.wikipedia,Apinarokko,2022-02-09,1
fi.wikipedia,Apinarokko,2022-02-11,0
fi.wikipedia,Apinarokko,2022-02-12,1
fi.wikipedia,Apinarokko,2022-02-13,5
fi.wikipedia,Apinarokko,2022-02-14,0
fi.wikipedia,Apinarokko,2022-02-15,5
fi.wikipedia,Apinarokko,2022-02-17,2
fi.wikipedia,Apinarokko,2022-02-18,1
fi.wikipedia,Apinarokko,2022-02-19,1
fi.wikipedia,Apinarokko,2022-02-20,1
fi.wikipedia,Apinarokko,2022-02-21,1
fi.wikipedia,Apinarokko,2022-02-22,2
fi.wikipedia,Apinarokko,2022-02-23,2
fi.wikipedia,Apinarokko,2022-02-25,0
fi.wikipedia,Apinarokko,2022-02-26,0
fi.wikipedia,Apinarokko,2022-02-28,1
fi.wikipedia,Apinarokko,2022-03-01,1
fi.wikipedia,Apinarokko,2022-03-02,0
fi.wikipedia,Apinarokko,2022-03-03,2
fi.wikipedia,Apinarokko,2022-03-04,0
fi.wikipedia,Apinarokko,2022-03-05,0
fi.wikipedia,Apinarokko,2022-03-06,1
fi.wikipedia,Apinarokko,2022-03-07,1
fi.wikipedia,Apinarokko,2022-03-08,1
fi.wikipedia,Apinarokko,2022-03-09,1
