project,page_title,date,pageviews
cy.wikipedia,Brech_y_mwnci,2022-05-19,5
cy.wikipedia,Brech_y_mwnci,2022-05-20,19
cy.wikipedia,Brech_y_mwnci,2022-05-21,13
cy.wikipedia,Brech_y_mwnci,2022-05-22,9
cy.wikipedia,Brech_y_mwnci,2022-05-23,20
cy.wikipedia,Brech_y_mwnci,2022-05-24,15
cy.wikipedia,Brech_y_mwnci,2022-05-25,2
cy.wikipedia,Brech_y_mwnci,2022-05-26,9
cy.wikipedia,Brech_y_mwnci,2022-05-27,2
cy.wikipedia,Brech_y_mwnci,2022-05-28,4
cy.wikipedia,Brech_y_mwnci,2022-05-29,2
cy.wikipedia,Brech_y_mwnci,2022-05-30,2
cy.wikipedia,Brech_y_mwnci,2022-05-31,1
cy.wikipedia,Brech_y_mwnci,2022-06-01,1
cy.wikipedia,Brech_y_mwnci,2022-06-02,0
cy.wikipedia,Brech_y_mwnci,2022-06-03,2
cy.wikipedia,Brech_y_mwnci,2022-06-04,1
cy.wikipedia,Brech_y_mwnci,2022-06-05,2
cy.wikipedia,Brech_y_mwnci,2022-06-06,1
cy.wikipedia,Brech_y_mwnci,2022-06-08,1
cy.wikipedia,Brech_y_mwnci,2022-06-09,2
cy.wikipedia,Brech_y_mwnci,2022-06-10,0
cy.wikipedia,Brech_y_mwnci,2022-06-11,0
cy.wikipedia,Brech_y_mwnci,2022-06-12,1
cy.wikipedia,Brech_y_mwnci,2022-06-13,1
cy.wikipedia,Brech_y_mwnci,2022-06-14,2
cy.wikipedia,Brech_y_mwnci,2022-06-15,2
cy.wikipedia,Brech_y_mwnci,2022-06-16,1
cy.wikipedia,Brech_y_mwnci,2022-06-18,0
cy.wikipedia,Brech_y_mwnci,2022-06-19,1
cy.wikipedia,Brech_y_mwnci,2022-06-21,0
cy.wikipedia,Brech_y_mwnci,2022-06-23,0
cy.wikipedia,Brech_y_mwnci,2022-06-24,0
cy.wikipedia,Brech_y_mwnci,2022-06-26,1
cy.wikipedia,Brech_y_mwnci,2022-06-28,0
cy.wikipedia,Brech_y_mwnci,2022-06-29,2
cy.wikipedia,Brech_y_mwnci,2022-07-01,1
cy.wikipedia,Brech_y_mwnci,2022-07-02,1
cy.wikipedia,Brech_y_mwnci,2022-07-03,0
cy.wikipedia,Brech_y_mwnci,2022-07-04,0
cy.wikipedia,Brech_y_mwnci,2022-07-05,2
cy.wikipedia,Brech_y_mwnci,2022-07-06,1
cy.wikipedia,Brech_y_mwnci,2022-07-07,0
cy.wikipedia,Brech_y_mwnci,2022-07-08,0
cy.wikipedia,Brech_y_mwnci,2022-07-09,0
cy.wikipedia,Brech_y_mwnci,2022-07-10,0
cy.wikipedia,Brech_y_mwnci,2022-07-11,1
cy.wikipedia,Brech_y_mwnci,2022-07-12,0
cy.wikipedia,Brech_y_mwnci,2022-07-13,2
cy.wikipedia,Brech_y_mwnci,2022-07-14,1
cy.wikipedia,Brech_y_mwnci,2022-07-15,0
cy.wikipedia,Brech_y_mwnci,2022-07-16,0
cy.wikipedia,Brech_y_mwnci,2022-07-17,2
cy.wikipedia,Brech_y_mwnci,2022-07-18,2
